miRNA	target	score
hsa-let-7b-5p	SMCR8	1
hsa-let-7b-5p	BTBD9	1
hsa-let-7b-5p	KREMEN1	1
hsa-let-7b-5p	ANKRD46	1
hsa-let-7b-5p	CDC25A	1
hsa-let-7b-5p	MARS2	1
hsa-let-7b-5p	BTG2	1
hsa-let-7b-5p	SOCS7	1
hsa-let-7b-5p	TMEM167A	1
hsa-let-7b-5p	PCGF3	1
hsa-let-7b-5p	DICER1	1
hsa-let-7b-5p	SCD	1
hsa-let-7b-5p	GGA3	1
hsa-let-7b-5p	HS2ST1	1
hsa-let-7b-5p	CCNT2	1
hsa-let-7b-5p	ARPP19	1
hsa-let-7b-5p	HAS2	1
hsa-let-7b-5p	PDGFB	1
hsa-let-7b-5p	SEMA4C	1
hsa-let-7b-5p	CALU	1
hsa-let-7b-5p	CPEB3	1
hsa-let-7b-5p	GPAT4	1
hsa-let-7b-5p	SMARCC1	1
hsa-let-7b-5p	POTEM	1
hsa-let-7b-5p	DVL3	1
hsa-let-7b-5p	NAT8L	1
hsa-let-7b-5p	IGF2BP1	1
hsa-let-7b-5p	SLC5A6	1
hsa-let-7b-5p	NAP1L1	1
hsa-let-7b-5p	PAX3	1
hsa-let-7b-5p	ADIPOR2	1
hsa-let-7b-5p	AGO3	1
hsa-let-7b-5p	CPEB1	1
hsa-let-7b-5p	HMGA2	1
hsa-let-7b-5p	PRKAR2A	1
hsa-let-7b-5p	CCND2	1
hsa-let-7b-5p	SLC10A7	1
hsa-let-7b-5p	TAB2	1
hsa-let-7b-5p	C1GALT1	1
hsa-let-7b-5p	RRM2	1
hsa-let-7b-5p	OPA3	1
hsa-let-7b-5p	GPX7	1
hsa-let-7b-5p	E2F6	1
hsa-let-7b-5p	ESPL1	1
hsa-let-7b-5p	PLXND1	1
hsa-let-7b-5p	PEG10	1
hsa-let-7b-5p	FAM104A	1
hsa-let-7b-5p	ZNF566	1
hsa-let-7b-5p	STEAP3	1
hsa-let-7b-5p	MXD1	1
hsa-let-7b-5p	EIF4G2	1
